stringId_A,stringId_B,combined_score
ENSP00000251102,ENSP00000304643,0.9068
ENSP00000251102,ENSP00000315299,0.9068
ENSP00000251102,ENSP00000369689,0.9068
ENSP00000251102,ENSP00000291295,0.99068
ENSP00000251102,ENSP00000369268,0.9357458
ENSP00000251102,ENSP00000384264,0.9932364
ENSP00000251102,ENSP00000328478,0.9357458
ENSP00000251337,ENSP00000381339,0.78274476
ENSP00000251337,ENSP00000262406,0.9508231
ENSP00000251337,ENSP00000420295,0.9385136000000001
ENSP00000251337,ENSP00000255266,0.9386464
ENSP00000251337,ENSP00000296271,0.961495
ENSP00000251337,ENSP00000328412,0.9803575
ENSP00000254854,ENSP00000334910,0.73818019
ENSP00000254854,ENSP00000255266,0.7569406
ENSP00000254854,ENSP00000420295,0.7531596759999999
ENSP00000254854,ENSP00000379256,0.911555
ENSP00000254854,ENSP00000261047,0.9069
ENSP00000255266,ENSP00000312126,0.7274431000000001
ENSP00000255266,ENSP00000286355,0.7346536
ENSP00000255266,ENSP00000311405,0.7274431000000001
ENSP00000255266,ENSP00000420295,0.9
ENSP00000255266,ENSP00000328412,0.9536429
ENSP00000259455,ENSP00000393097,0.79026992
ENSP00000259455,ENSP00000366233,0.999284
ENSP00000259466,ENSP00000304235,0.999
ENSP00000260191,ENSP00000322617,0.9067000000000001
ENSP00000260191,ENSP00000371929,0.9
ENSP00000260191,ENSP00000347754,0.9645794
ENSP00000260402,ENSP00000264399,0.9
ENSP00000260402,ENSP00000363092,0.9
ENSP00000260402,ENSP00000379098,0.9068
ENSP00000260402,ENSP00000363435,0.9135101
ENSP00000260402,ENSP00000381339,0.9151903
ENSP00000262406,ENSP00000381339,0.7541155
ENSP00000262406,ENSP00000328412,0.7717072
ENSP00000264399,ENSP00000370669,0.9071
ENSP00000264399,ENSP00000443631,0.9
ENSP00000264399,ENSP00000363092,0.9067000000000001
ENSP00000264399,ENSP00000338185,0.9042
ENSP00000264399,ENSP00000384763,0.9071
ENSP00000264399,ENSP00000367762,0.9049
ENSP00000264399,ENSP00000266376,0.9
ENSP00000264952,ENSP00000334876,0.9057000000000001
ENSP00000264952,ENSP00000403701,0.819505
ENSP00000264952,ENSP00000409581,0.819505
ENSP00000264952,ENSP00000296271,0.9192718
ENSP00000266376,ENSP00000363092,0.9108
ENSP00000266376,ENSP00000366488,0.9042
ENSP00000266376,ENSP00000309591,0.9
ENSP00000266376,ENSP00000359719,0.9058
ENSP00000266376,ENSP00000315299,0.9423
ENSP00000266376,ENSP00000304643,0.9136
ENSP00000266376,ENSP00000369689,0.9423
ENSP00000266376,ENSP00000291295,0.9989
ENSP00000266376,ENSP00000419081,0.9136
ENSP00000274545,ENSP00000393097,0.7266054399999999
ENSP00000283254,ENSP00000329926,0.9055
ENSP00000283254,ENSP00000386306,0.9087000000000001
ENSP00000286355,ENSP00000420295,0.7274431000000001
ENSP00000286355,ENSP00000379098,0.7002537
ENSP00000286355,ENSP00000334910,0.7435946200000001
ENSP00000286355,ENSP00000347213,0.9069
ENSP00000286355,ENSP00000311405,0.9
ENSP00000286355,ENSP00000312126,0.9054
ENSP00000286355,ENSP00000359719,0.9096
ENSP00000286355,ENSP00000334051,0.9301778
ENSP00000286355,ENSP00000309591,0.9096
ENSP00000286355,ENSP00000366488,0.9096
ENSP00000286355,ENSP00000304643,0.9045000000000001
ENSP00000286355,ENSP00000315299,0.9059
ENSP00000286355,ENSP00000369689,0.9098522
ENSP00000286355,ENSP00000419081,0.9045000000000001
ENSP00000286355,ENSP00000291295,0.9113578
ENSP00000291295,ENSP00000384264,0.9
ENSP00000291295,ENSP00000328478,0.9
ENSP00000291295,ENSP00000369268,0.9
ENSP00000291295,ENSP00000379496,0.9084
ENSP00000291295,ENSP00000363435,0.9241264
ENSP00000291295,ENSP00000410309,0.9092
ENSP00000291295,ENSP00000419081,0.9
ENSP00000291295,ENSP00000369689,0.9
ENSP00000291295,ENSP00000315299,0.9
ENSP00000291295,ENSP00000304643,0.9
ENSP00000291295,ENSP00000379098,0.9974512
ENSP00000296271,ENSP00000386444,0.9690876
ENSP00000296271,ENSP00000334876,0.98775
ENSP00000299454,ENSP00000299459,0.772
ENSP00000299454,ENSP00000320560,0.831
ENSP00000299454,ENSP00000369157,0.999
ENSP00000299459,ENSP00000409581,0.704971
ENSP00000299459,ENSP00000403701,0.704971
ENSP00000299459,ENSP00000320560,0.782
ENSP00000300061,ENSP00000353292,0.9977123999999999
ENSP00000300061,ENSP00000345751,0.9969431
ENSP00000300773,ENSP00000409581,0.7040344000000001
ENSP00000300773,ENSP00000403701,0.7040344000000001
ENSP00000300778,ENSP00000409581,0.7040344000000001
ENSP00000300778,ENSP00000403701,0.7040344000000001
ENSP00000300778,ENSP00000369568,0.78
ENSP00000304188,ENSP00000409581,0.7052832
ENSP00000304188,ENSP00000403701,0.7052832
ENSP00000304419,ENSP00000403701,0.704971
ENSP00000304419,ENSP00000409581,0.704971
ENSP00000304643,ENSP00000384264,0.9
ENSP00000304643,ENSP00000328478,0.9
ENSP00000304643,ENSP00000419081,0.9
ENSP00000304643,ENSP00000315299,0.9
ENSP00000304643,ENSP00000369689,0.9
ENSP00000304643,ENSP00000369268,0.9044
ENSP00000304643,ENSP00000410309,0.9065
ENSP00000304643,ENSP00000379496,0.9065
ENSP00000304643,ENSP00000363435,0.9045000000000001
ENSP00000304643,ENSP00000379098,0.9309204
ENSP00000305055,ENSP00000403701,0.704971
ENSP00000305055,ENSP00000409581,0.704971
ENSP00000306095,ENSP00000371594,0.7074
ENSP00000306095,ENSP00000409581,0.709654
ENSP00000306095,ENSP00000403701,0.7193322
ENSP00000307159,ENSP00000403701,0.704971
ENSP00000307159,ENSP00000409581,0.704971
ENSP00000307515,ENSP00000409581,0.7043466
ENSP00000307515,ENSP00000403701,0.7043466
ENSP00000307766,ENSP00000371594,0.714792
ENSP00000309591,ENSP00000370669,0.9057000000000001
ENSP00000309591,ENSP00000384763,0.9112
ENSP00000309591,ENSP00000366488,0.9669
ENSP00000309591,ENSP00000363435,0.9202944000000001
ENSP00000309591,ENSP00000359719,0.9879292
ENSP00000310788,ENSP00000403701,0.7062198
ENSP00000310788,ENSP00000409581,0.7062198
ENSP00000311038,ENSP00000403701,0.7109028
ENSP00000311038,ENSP00000409581,0.7109028
ENSP00000311405,ENSP00000420295,0.7274431000000001
ENSP00000311405,ENSP00000334910,0.7274431000000001
ENSP00000311405,ENSP00000334051,0.7506349999999999
ENSP00000311405,ENSP00000347213,0.9075
ENSP00000311405,ENSP00000312126,0.944615
ENSP00000312126,ENSP00000420295,0.7274431000000001
ENSP00000312126,ENSP00000334910,0.7407104200000001
ENSP00000312126,ENSP00000347213,0.906
ENSP00000312126,ENSP00000334051,0.9443869
ENSP00000312262,ENSP00000317578,0.962
ENSP00000312262,ENSP00000409581,0.9027700000000001
